STATE,PRIM_STATE,LOC_QUOTIENT,OCC_CODE,OCC_TITLE,TOT_EMP,JOBS_1000,H_MEAN,Annual_Mean_Wage
Alaska,AK,1.16,291123,Physical Therapists,570.0,1.844,53.28,110830.0
Alaska,AK,1.7,291129,"Therapists, All Other",60.0,0.185,53.61,111510.0
Alaska,AK,1.01,291141,Registered Nurses,6590.0,21.158,52.51,109210.0
Alaska,AK,6.56,291161,Nurse Midwives,90.0,0.301,61.92,128800.0
Alaska,AK,1.15,291171,Nurse Practitioners,660.0,2.123,60.66,126170.0
Alaska,AK,1.93,291215,Family Medicine Physicians,440.0,1.423,131.61,273740.0
Alaska,AK,0.57,291216,General Internal Medicine Physicians,80.0,0.253,193.27,402000.0
Alaska,AK,1.82,291218,Obstetricians And Gynecologists,70.0,0.237,147.45,306700.0
Alaska,AK,1.27,291221,"Pediatricians, General",90.0,0.291,114.44,238030.0
Alaska,AK,2.62,291222,"Physicians, Pathologists",60.0,0.19,120.92,251520.0
Alaska,AK,0.93,291223,Psychiatrists,50.0,0.151,79.9,166190.0
Alaska,AK,0.57,291224,Radiologists,40.0,0.121,66.72,138770.0
Alaska,AK,0.55,291229,"Physicians, All Other",350.0,1.119,136.65,284240.0
Alaska,AK,1.4,291292,Dental Hygienists,610.0,1.944,55.76,115980.0
Alaska,AK,0.83,292035,Magnetic Resonance Imaging Technologists,70.0,0.225,52.8,109830.0
Alaska,AK,2.22,319011,Massage Therapists,420.0,1.355,48.4,100670.0
Alaska,AK,0.76,331011,First-Line Supervisors Of Correctional Officers,80.0,0.261,50.3,104630.0
Alaska,AK,1.12,331012,First-Line Supervisors Of Police And Detectives,320.0,1.02,57.61,119830.0
Alaska,AK,0.57,333021,Detectives And Criminal Investigators,130.0,0.403,58.54,121770.0
Alaska,AK,0.14,413031,"Securities, Commodities, And Financial Services Sales Agents",140.0,0.435,54.33,113010.0
Alaska,AK,0.28,419031,Sales Engineers,30.0,0.108,51.38,106860.0
Alaska,AK,10.67,475013,"Service Unit Operators, Oil And Gas",1010.0,3.242,51.78,107710.0
Alaska,AK,1.82,492095,"Electrical And Electronics Repairers, Powerhouse, Substation, And Relay",90.0,0.297,48.65,101190.0
Alaska,AK,1.69,499051,Electrical Power-Line Installers And Repairers,420.0,1.339,49.32,102580.0
Alaska,AK,4.88,499069,"Precision Instrument And Equipment Repairers, All Other",100.0,0.332,51.13,106350.0
Alaska,AK,2.32,518012,Power Distributors And Dispatchers,40.0,0.138,54.7,113780.0
Alaska,AK,10.25,532021,Air Traffic Controllers,470.0,1.506,58.89,122480.0
Arizona,AZ,1.07,110000,Management Occupations,232000.0,74.128,59.53,123820.0
Arizona,AZ,1.3,111021,General And Operations Managers,94010.0,30.037,54.71,113800.0
Arizona,AZ,0.15,112011,Advertising And Promotions Managers,60.0,0.021,67.83,141080.0
Arizona,AZ,1.06,112022,Sales Managers,12570.0,4.015,68.14,141720.0
Arizona,AZ,0.66,112032,Public Relations Managers,990.0,0.317,55.63,115710.0
Arizona,AZ,1.12,113012,Administrative Services Managers,5610.0,1.794,51.38,106870.0
Arizona,AZ,1.16,113021,Computer And Information Systems Managers,14180.0,4.531,78.8,163900.0
Arizona,AZ,0.9,113031,Financial Managers,14630.0,4.674,74.11,154140.0
Arizona,AZ,0.67,113051,Industrial Production Managers,3060.0,0.977,62.85,130730.0
Arizona,AZ,1.21,113061,Purchasing Managers,1940.0,0.618,73.24,152340.0
Arizona,AZ,0.79,113071,"Transportation, Storage, And Distribution Managers",3240.0,1.036,49.78,103540.0
Arizona,AZ,0.87,113121,Human Resources Managers,3600.0,1.149,68.67,142840.0
Arizona,AZ,1.13,113131,Training And Development Managers,960.0,0.308,58.91,122530.0
Arizona,AZ,1.18,119021,Construction Managers,8040.0,2.568,55.5,115440.0
Arizona,AZ,1.62,119033,"Education Administrators, Postsecondary",5570.0,1.779,54.24,112820.0
Arizona,AZ,0.98,119041,Architectural And Engineering Managers,4200.0,1.342,83.58,173850.0
Arizona,AZ,1.66,119071,Gambling Managers,160.0,0.05,53.42,111110.0
Arizona,AZ,0.99,119111,Medical And Health Services Managers,10550.0,3.371,65.05,135310.0
Arizona,AZ,0.4,119121,Natural Sciences Managers,800.0,0.254,65.68,136610.0
Arizona,AZ,0.14,119179,"Personal Service Managers, All Other",30.0,0.01,52.23,108630.0
Arizona,AZ,0.85,119199,"Managers, All Other",10280.0,3.286,66.89,139130.0
Arizona,AZ,0.93,132051,Financial And Investment Analysts,6260.0,2.0,48.86,101630.0
Arizona,AZ,1.2,132052,Personal Financial Advisors,6750.0,2.156,51.05,106190.0
Arizona,AZ,1.05,150000,Computer And Mathematical Occupations,112540.0,35.959,49.87,103720.0
Arizona,AZ,1.15,151211,Computer Systems Analysts,11860.0,3.788,48.32,100510.0
Arizona,AZ,1.02,151212,Information Security Analysts,3690.0,1.179,54.08,112480.0
Arizona,AZ,0.49,151221,Computer And Information Research Scientists,360.0,0.114,70.92,147500.0
Arizona,AZ,1.25,151241,Computer Network Architects,4470.0,1.429,59.88,124550.0
Arizona,AZ,0.96,151242,Database Administrators,1510.0,0.483,50.23,104470.0
Arizona,AZ,0.85,151243,Database Architects,1040.0,0.334,58.21,121080.0
Arizona,AZ,1.13,151252,Software Developers,38540.0,12.313,61.56,128040.0
Arizona,AZ,0.62,151299,"Computer Occupations, All Other",5580.0,1.783,49.14,102210.0
Arizona,AZ,0.45,152011,Actuaries,240.0,0.076,61.92,128800.0
Arizona,AZ,0.96,152051,Data Scientists,3800.0,1.216,54.07,112470.0
Arizona,AZ,1.27,172011,Aerospace Engineers,1750.0,0.558,65.17,135550.0
Arizona,AZ,1.02,172031,Bioengineers And Biomedical Engineers,400.0,0.129,58.86,122430.0
Arizona,AZ,0.21,172041,Chemical Engineers,90.0,0.03,65.87,137000.0
Arizona,AZ,1.22,172061,Computer Hardware Engineers,2080.0,0.665,67.92,141270.0
Arizona,AZ,1.33,172071,Electrical Engineers,5090.0,1.627,56.71,117970.0
Arizona,AZ,1.75,172072,"Electronics Engineers, Except Computer",3470.0,1.11,58.49,121660.0
Arizona,AZ,0.36,172111,"Health And Safety Engineers, Except Mining Safety Engineers And Inspectors",170.0,0.053,53.08,110410.0
Arizona,AZ,1.03,172112,Industrial Engineers,7100.0,2.267,52.48,109150.0
Arizona,AZ,2.18,172131,Materials Engineers,1110.0,0.353,58.46,121610.0
Arizona,AZ,0.92,172141,Mechanical Engineers,5360.0,1.712,50.02,104040.0
Arizona,AZ,3.52,172151,"Mining And Geological Engineers, Including Mining Safety Engineers",510.0,0.163,48.15,100150.0
Arizona,AZ,0.07,172171,Petroleum Engineers,30.0,0.01,65.3,135820.0
Arizona,AZ,0.82,172199,"Engineers, All Other",2560.0,0.818,53.68,111650.0
Arizona,AZ,0.51,191042,"Medical Scientists, Except Epidemiologists",1440.0,0.46,49.5,102950.0
Arizona,AZ,3.28,192011,Astronomers,140.0,0.045,57.84,120310.0
Arizona,AZ,0.39,192012,Physicists,150.0,0.047,88.32,183710.0
Arizona,AZ,0.37,192099,"Physical Scientists, All Other",160.0,0.05,55.41,115260.0
Arizona,AZ,0.42,193033,Clinical And Counseling Psychologists,630.0,0.201,52.67,109550.0
Arizona,AZ,0.92,193039,"Psychologists, All Other",270.0,0.088,50.47,104980.0
Arizona,AZ,0.57,193094,Political Scientists,70.0,0.021,49.49,102950.0
Arizona,AZ,0.87,230000,Legal Occupations,22140.0,7.073,51.05,106190.0
Arizona,AZ,0.66,231011,Lawyers,9920.0,3.168,73.41,152690.0
Arizona,AZ,0.98,231021,"Administrative Law Judges, Adjudicators, And Hearing Officers",290.0,0.094,51.87,107880.0
Arizona,AZ,1.47,231023,"Judges, Magistrate Judges, And Magistrates",740.0,0.237,52.79,109800.0
Arizona,AZ,0.4,271011,Art Directors,420.0,0.134,50.68,105410.0
Arizona,AZ,0.99,290000,Healthcare Practitioners And Technical Occupations,190040.0,60.721,49.44,102840.0
Arizona,AZ,0.85,291021,"Dentists, General",2140.0,0.684,111.49,231890.0
Arizona,AZ,1.92,291029,"Dentists, All Other Specialists",230.0,0.075,127.73,265680.0
Arizona,AZ,0.83,291041,Optometrists,710.0,0.226,72.45,150690.0
Arizona,AZ,1.1,291051,Pharmacists,7530.0,2.407,64.33,133800.0
Arizona,AZ,1.16,291071,Physician Assistants,3500.0,1.118,63.56,132210.0
Arizona,AZ,0.95,291081,Podiatrists,190.0,0.059,69.38,144310.0
Arizona,AZ,1.92,291124,Radiation Therapists,660.0,0.21,48.92,101750.0
Arizona,AZ,0.42,291129,"Therapists, All Other",140.0,0.046,55.08,114570.0
Arizona,AZ,0.92,291131,Veterinarians,1490.0,0.476,73.79,153480.0
Arizona,AZ,0.83,291161,Nurse Midwives,120.0,0.038,57.3,119190.0
Arizona,AZ,1.17,291171,Nurse Practitioners,6770.0,2.164,63.73,132560.0
Arizona,AZ,1.18,291213,Dermatologists,290.0,0.094,210.66,438170.0
Arizona,AZ,0.18,291214,Emergency Medicine Physicians,130.0,0.041,157.55,327700.0
Arizona,AZ,1.71,291215,Family Medicine Physicians,3950.0,1.262,138.8,288700.0
Arizona,AZ,0.8,291217,Neurologists,160.0,0.05,135.03,280850.0
Arizona,AZ,0.76,291218,Obstetricians And Gynecologists,310.0,0.099,151.03,314140.0
Arizona,AZ,1.62,291221,"Pediatricians, General",1160.0,0.372,111.96,232880.0
Arizona,AZ,2.73,291222,"Physicians, Pathologists",620.0,0.198,138.77,288640.0
Arizona,AZ,0.86,291223,Psychiatrists,440.0,0.141,122.94,255720.0
Arizona,AZ,0.57,291224,Radiologists,380.0,0.121,205.67,427800.0
Arizona,AZ,0.79,291229,"Physicians, All Other",5020.0,1.604,99.79,207570.0
Arizona,AZ,0.43,291241,"Ophthalmologists, Except Pediatric",100.0,0.033,174.75,363470.0
Arizona,AZ,0.51,291242,"Orthopedic Surgeons, Except Pediatric",160.0,0.05,242.46,504330.0
Arizona,AZ,1.29,291243,Pediatric Surgeons,30.0,0.01,256.6,533740.0
Arizona,AZ,0.57,291299,"Healthcare Diagnosing Or Treating Practitioners, All Other",370.0,0.117,60.54,125910.0
Arizona,AZ,1.18,292036,Medical Dosimetrists,90.0,0.03,63.2,131460.0
Arizona,AZ,0.85,331012,First-Line Supervisors Of Police And Detectives,2410.0,0.77,52.27,108710.0
Arizona,AZ,1.3,414011,"Sales Representatives, Wholesale And Manufacturing, Technical And Scientific Products",8330.0,2.661,52.05,108250.0
Arizona,AZ,0.66,419031,Sales Engineers,800.0,0.257,67.95,141340.0
Arizona,AZ,0.78,532021,Air Traffic Controllers,360.0,0.114,62.95,130930.0
Arkansas,AR,1.24,111011,Chief Executives,2190.0,1.721,80.52,167490.0
Arkansas,AR,0.66,112011,Advertising And Promotions Managers,110.0,0.089,49.64,103250.0
Arkansas,AR,0.44,112021,Marketing Managers,1360.0,1.066,62.18,129340.0
Arkansas,AR,0.45,112032,Public Relations Managers,270.0,0.214,68.8,143110.0
Arkansas,AR,0.53,113012,Administrative Services Managers,1080.0,0.847,49.78,103540.0
Arkansas,AR,0.65,113021,Computer And Information Systems Managers,3230.0,2.54,59.2,123130.0
Arkansas,AR,1.08,113031,Financial Managers,7150.0,5.621,57.46,119530.0
Arkansas,AR,1.28,113051,Industrial Production Managers,2390.0,1.881,57.49,119580.0
Arkansas,AR,1.78,113061,Purchasing Managers,1150.0,0.906,63.0,131040.0
Arkansas,AR,0.75,113071,"Transportation, Storage, And Distribution Managers",1250.0,0.983,51.16,106400.0
Arkansas,AR,0.91,113111,Compensation And Benefits Managers,140.0,0.112,56.15,116800.0
Arkansas,AR,0.79,113121,Human Resources Managers,1320.0,1.038,56.34,117190.0
Arkansas,AR,0.71,113131,Training And Development Managers,250.0,0.195,51.53,107190.0
Arkansas,AR,1.02,119033,"Education Administrators, Postsecondary",1430.0,1.126,54.14,112610.0
Arkansas,AR,0.6,119041,Architectural And Engineering Managers,1040.0,0.822,66.98,139310.0
Arkansas,AR,0.31,119121,Natural Sciences Managers,250.0,0.195,65.16,135530.0
Arkansas,AR,1.21,119199,"Managers, All Other",5960.0,4.692,49.07,102060.0
Arkansas,AR,0.84,132052,Personal Financial Advisors,1910.0,1.499,54.7,113780.0
Arkansas,AR,0.61,151241,Computer Network Architects,890.0,0.699,54.27,112890.0
Arkansas,AR,0.21,152051,Data Scientists,330.0,0.263,56.37,117250.0
Arkansas,AR,0.66,192012,Physicists,100.0,0.08,64.09,133310.0
Arkansas,AR,0.69,193033,Clinical And Counseling Psychologists,410.0,0.325,51.12,106330.0
Arkansas,AR,0.55,231011,Lawyers,3360.0,2.642,54.74,113860.0
Arkansas,AR,1.16,231023,"Judges, Magistrate Judges, And Magistrates",240.0,0.187,84.53,175820.0
Arkansas,AR,0.53,291011,Chiropractors,180.0,0.144,52.94,110110.0
Arkansas,AR,0.85,291021,"Dentists, General",870.0,0.682,81.14,168760.0
Arkansas,AR,0.73,291041,Optometrists,250.0,0.198,70.37,146360.0
Arkansas,AR,1.0,291051,Pharmacists,2770.0,2.178,61.83,128600.0
Arkansas,AR,0.82,291131,Veterinarians,540.0,0.421,54.11,112550.0
Arkansas,AR,1.41,291171,Nurse Practitioners,3300.0,2.595,54.53,113410.0
Arkansas,AR,2.59,291213,Dermatologists,260.0,0.205,153.16,318560.0
Arkansas,AR,1.26,291215,Family Medicine Physicians,1180.0,0.932,62.07,129110.0
Arkansas,AR,0.27,291216,General Internal Medicine Physicians,150.0,0.118,84.52,175810.0
Arkansas,AR,0.81,291221,"Pediatricians, General",240.0,0.186,66.64,138600.0
Arkansas,AR,0.72,291222,"Physicians, Pathologists",70.0,0.052,124.23,258390.0
Arkansas,AR,0.57,291223,Psychiatrists,120.0,0.093,101.7,211530.0
Arkansas,AR,0.84,291224,Radiologists,230.0,0.178,110.92,230710.0
Arkansas,AR,0.73,291229,"Physicians, All Other",1910.0,1.499,106.58,221690.0
Arkansas,AR,0.43,291241,"Ophthalmologists, Except Pediatric",40.0,0.033,142.5,296400.0
Arkansas,AR,1.57,292036,Medical Dosimetrists,50.0,0.04,72.63,151060.0
Arkansas,AR,0.24,419031,Sales Engineers,120.0,0.095,55.88,116240.0
Arkansas,AR,3.95,518012,Power Distributors And Dispatchers,300.0,0.235,52.51,109220.0
California,CA,1.06,110000,Management Occupations,1308800.0,72.93,77.1,160360.0
California,CA,1.56,111011,Chief Executives,38920.0,2.169,135.11,281030.0
California,CA,0.66,111021,General And Operations Managers,273630.0,15.248,74.6,155170.0
California,CA,1.18,112011,Advertising And Promotions Managers,2880.0,0.16,84.18,175080.0
California,CA,1.37,112021,Marketing Managers,59830.0,3.334,92.66,192730.0
California,CA,1.67,112022,Sales Managers,113910.0,6.347,73.09,152030.0
California,CA,1.11,112032,Public Relations Managers,9580.0,0.534,81.96,170470.0
California,CA,1.2,112033,Fundraising Managers,4510.0,0.251,74.13,154200.0
California,CA,1.33,113012,Administrative Services Managers,37990.0,2.117,59.86,124500.0
California,CA,1.16,113013,Facilities Managers,18010.0,1.003,58.1,120850.0
California,CA,1.41,113021,Computer And Information Systems Managers,98430.0,5.485,104.34,217030.0
California,CA,1.05,113031,Financial Managers,97400.0,5.427,94.55,196670.0
California,CA,0.93,113051,Industrial Production Managers,24590.0,1.37,67.37,140130.0
California,CA,0.82,113061,Purchasing Managers,7540.0,0.42,76.67,159470.0
California,CA,1.32,113071,"Transportation, Storage, And Distribution Managers",30930.0,1.724,57.33,119250.0
California,CA,1.35,113111,Compensation And Benefits Managers,2990.0,0.167,80.1,166620.0
