State Abbreviation,State,Gender,Age,Education Code,Education Level,Degree Field,Occupation Code,Occupation,Annual Income,Employment,Location Quotient,Jobs per 1000,Hourly Mean,Annual Mean Wage
MD,Maryland,Male,29,101,Bachelor's degree,2408,151241,Computer Network Architects,114447,6760.0,2.2,2.524,73.0,151840.0
MD,Maryland,Female,32,101,Bachelor's degree,5003,151252,Software Developers,122379,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Male,38,114,Master's degree,2418,113021,Computer And Information Systems Managers,245665,13570.0,1.3,5.068,81.85,170240.0
MD,Maryland,Male,38,114,Master's degree,5506,151252,Software Developers,135977,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Male,40,101,Bachelor's degree,2405,151251,Computer Programmers,105382,2980.0,1.41,1.115,52.65,109520.0
MD,Maryland,Female,46,101,Bachelor's degree,6203,111021,General And Operations Managers,120113,90520.0,1.46,33.81,60.77,126410.0
MD,Maryland,Male,31,114,Master's degree,2412,172011,Aerospace Engineers,101983,2810.0,2.39,1.05,73.17,152180.0
MD,Maryland,Male,52,101,Bachelor's degree,2408,172061,Computer Hardware Engineers,755805,2510.0,1.72,0.937,67.88,141200.0
MD,Maryland,Female,53,114,Master's degree,3600,193011,Economists,162039,900.0,3.12,0.337,65.56,136370.0
MD,Maryland,Male,52,114,Master's degree,5506,152031,Operations Research Analysts,153087,3730.0,1.79,1.391,54.06,112450.0
MD,Maryland,Male,27,101,Bachelor's degree,6100,132031,Budget Analysts,113314,2440.0,2.93,0.912,51.02,106130.0
MD,Maryland,Female,50,101,Bachelor's degree,5501,131082,Project Management Specialists,151841,32230.0,1.93,12.038,50.81,105680.0
MD,Maryland,Male,38,114,Master's degree,2102,151252,Software Developers,186968,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Male,27,101,Bachelor's degree,6207,131111,Management Analysts,109915,21070.0,1.43,7.87,56.42,117360.0
MD,Maryland,Male,51,101,Bachelor's degree,6107,119111,Medical And Health Services Managers,107648,14770.0,1.63,5.517,72.4,150590.0
MD,Maryland,Female,47,101,Bachelor's degree,1901,151211,Computer Systems Analysts,113314,13800.0,1.57,5.153,56.95,118460.0
MD,Maryland,Male,49,114,Master's degree,5401,151299,"Computer Occupations, All Other",256101,21560.0,2.8,8.052,64.72,134610.0
MD,Maryland,Male,52,114,Master's degree,6212,113021,Computer And Information Systems Managers,192634,13570.0,1.3,5.068,81.85,170240.0
MD,Maryland,Male,75,114,Master's degree,2400,151212,Information Security Analysts,765286,7890.0,2.55,2.947,66.44,138180.0
MD,Maryland,Male,59,101,Bachelor's degree,3700,151241,Computer Network Architects,172946,6760.0,2.2,2.524,73.0,151840.0
MD,Maryland,Male,52,114,Master's degree,6212,172051,Civil Engineers,176081,4840.0,0.84,1.807,48.1,100040.0
MD,Maryland,Male,49,101,Bachelor's degree,5501,113031,Financial Managers,216182,16140.0,1.16,6.028,78.36,162980.0
MD,Maryland,Female,45,101,Bachelor's degree,6209,113121,Human Resources Managers,624767,3610.0,1.02,1.349,74.88,155740.0
MD,Maryland,Female,48,101,Bachelor's degree,2308,333021,Detectives And Criminal Investigators,194780,980.0,0.52,0.365,57.65,119900.0
MD,Maryland,Female,31,101,Bachelor's degree,2106,151212,Information Security Analysts,194564,7890.0,2.55,2.947,66.44,138180.0
MD,Maryland,Male,26,101,Bachelor's degree,2102,151252,Software Developers,110902,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Male,62,101,Bachelor's degree,2105,131199,"Business Operations Specialists, All Other",134033,42100.0,2.16,15.723,49.32,102580.0
MD,Maryland,Male,25,114,Master's degree,6109,151299,"Computer Occupations, All Other",118900,21560.0,2.8,8.052,64.72,134610.0
MD,Maryland,Male,39,114,Master's degree,6200,119111,Medical And Health Services Managers,110253,14770.0,1.63,5.517,72.4,150590.0
MD,Maryland,Male,47,101,Bachelor's degree,2417,119041,Architectural And Engineering Managers,162137,4980.0,1.36,1.859,78.18,162610.0
MD,Maryland,Female,33,116,Doctoral degree,2409,151211,Computer Systems Analysts,143761,13800.0,1.57,5.153,56.95,118460.0
MD,Maryland,Female,50,114,Master's degree,6107,119111,Medical And Health Services Managers,129709,14770.0,1.63,5.517,72.4,150590.0
MD,Maryland,Male,25,114,Master's degree,6201,291071,Physician Assistants,162137,3280.0,1.28,1.225,56.39,117280.0
MD,Maryland,Male,25,114,Master's degree,2406,151252,Software Developers,117819,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Male,45,114,Master's degree,2300,113021,Computer And Information Systems Managers,156732,13570.0,1.3,5.068,81.85,170240.0
MD,Maryland,Female,44,101,Bachelor's degree,2100,113021,Computer And Information Systems Managers,154570,13570.0,1.3,5.068,81.85,170240.0
MD,Maryland,Female,44,114,Master's degree,4801,151211,Computer Systems Analysts,108091,13800.0,1.57,5.153,56.95,118460.0
MD,Maryland,Male,41,114,Master's degree,5502,119111,Medical And Health Services Managers,162137,14770.0,1.63,5.517,72.4,150590.0
MD,Maryland,Female,52,101,Bachelor's degree,6203,151252,Software Developers,145923,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Male,40,101,Bachelor's degree,6203,131082,Project Management Specialists,104848,32230.0,1.93,12.038,50.81,105680.0
MD,Maryland,Male,41,101,Bachelor's degree,2107,151212,Information Security Analysts,107010,7890.0,2.55,2.947,66.44,138180.0
MD,Maryland,Female,54,114,Master's degree,3401,151241,Computer Network Architects,140519,6760.0,2.2,2.524,73.0,151840.0
MD,Maryland,Female,64,101,Bachelor's degree,6203,131082,Project Management Specialists,118900,32230.0,1.93,12.038,50.81,105680.0
MD,Maryland,Male,22,101,Bachelor's degree,2102,192099,"Physical Scientists, All Other",113496,2190.0,5.95,0.816,64.09,133310.0
MD,Maryland,Male,44,114,Master's degree,6212,151252,Software Developers,151328,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Male,56,101,Bachelor's degree,6200,119161,Emergency Management Directors,136195,110.0,0.54,0.042,56.45,117420.0
MD,Maryland,Male,57,114,Master's degree,1902,112021,Marketing Managers,178675,6060.0,0.93,2.262,74.34,154620.0
MD,Maryland,Male,34,116,Doctoral degree,2102,151212,Information Security Analysts,231315,7890.0,2.55,2.947,66.44,138180.0
MD,Maryland,Male,33,114,Master's degree,2102,151252,Software Developers,165055,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Male,58,101,Bachelor's degree,2100,151252,Software Developers,237801,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Female,34,101,Bachelor's degree,5200,151252,Software Developers,113496,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Male,30,114,Master's degree,5007,151252,Software Developers,103011,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Female,44,101,Bachelor's degree,6203,119111,Medical And Health Services Managers,102687,14770.0,1.63,5.517,72.4,150590.0
MD,Maryland,Male,28,101,Bachelor's degree,2401,131082,Project Management Specialists,129709,32230.0,1.93,12.038,50.81,105680.0
MD,Maryland,Male,57,114,Master's degree,2499,151252,Software Developers,140519,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Female,36,115,Professional degree,5501,193011,Economists,129709,900.0,3.12,0.337,65.56,136370.0
MD,Maryland,Male,37,101,Bachelor's degree,5200,331012,First-Line Supervisors Of Police And Detectives,162137,7420.0,3.05,2.77,54.58,113520.0
MD,Maryland,Female,29,116,Doctoral degree,6108,291051,Pharmacists,108091,5880.0,1.01,2.196,63.72,132530.0
MD,Maryland,Male,37,114,Master's degree,6110,291071,Physician Assistants,141599,3280.0,1.28,1.225,56.39,117280.0
MD,Maryland,Male,28,114,Master's degree,2400,172051,Civil Engineers,118900,4840.0,0.84,1.807,48.1,100040.0
MD,Maryland,Female,52,101,Bachelor's degree,5301,151299,"Computer Occupations, All Other",150247,21560.0,2.8,8.052,64.72,134610.0
MD,Maryland,Male,64,114,Master's degree,6107,131082,Project Management Specialists,203309,32230.0,1.93,12.038,50.81,105680.0
MD,Maryland,Female,55,101,Bachelor's degree,1301,192099,"Physical Scientists, All Other",178350,2190.0,5.95,0.816,64.09,133310.0
MD,Maryland,Male,53,101,Bachelor's degree,2407,132031,Budget Analysts,175216,2440.0,2.93,0.912,51.02,106130.0
