State Abbreviation,State,Gender,Age,Education Code,Education Level,Degree Field,Occupation Code,Occupation,Annual Income,Employment,Location Quotient,Jobs per 1000,Hourly Mean,Annual Mean Wage
CA,California,Male,35,114,Master's degree,5501,131161,Market Research Analysts And Marketing Specialists,301200,113630.0,1.14,6.332,48.1,100040.0
CA,California,Male,47,114,Master's degree,2411,172051,Civil Engineers,175000,49010.0,1.26,2.731,55.34,115100.0
CA,California,Female,40,114,Master's degree,3401,113013,Facilities Managers,100000,18010.0,1.16,1.003,58.1,120850.0
CA,California,Male,49,114,Master's degree,2405,172141,Mechanical Engineers,171720,27420.0,0.82,1.528,60.86,126600.0
CA,California,Female,35,101,Bachelor's degree,4101,113031,Financial Managers,170000,97400.0,1.05,5.427,94.55,196670.0
CA,California,Male,48,114,Master's degree,2407,119041,Architectural And Engineering Managers,105000,35630.0,1.45,1.985,96.87,201480.0
CA,California,Male,27,101,Bachelor's degree,3600,291141,Registered Nurses,100000,332560.0,0.89,18.531,66.2,137690.0
CA,California,Female,48,101,Bachelor's degree,6107,291141,Registered Nurses,124000,332560.0,0.89,18.531,66.2,137690.0
CA,California,Female,25,114,Master's degree,2405,131161,Market Research Analysts And Marketing Specialists,100000,113630.0,1.14,6.332,48.1,100040.0
CA,California,Female,36,101,Bachelor's degree,6107,291141,Registered Nurses,108000,332560.0,0.89,18.531,66.2,137690.0
CA,California,Male,43,101,Bachelor's degree,2102,272012,Producers And Directors,363400,44740.0,2.45,2.493,63.94,132990.0
CA,California,Female,47,101,Bachelor's degree,6107,291141,Registered Nurses,130000,332560.0,0.89,18.531,66.2,137690.0
CA,California,Female,70,101,Bachelor's degree,6402,273023,"News Analysts, Reporters, And Journalists",126500,4920.0,0.93,0.274,62.77,130570.0
CA,California,Female,49,101,Bachelor's degree,6107,291141,Registered Nurses,118000,332560.0,0.89,18.531,66.2,137690.0
CA,California,Female,39,114,Master's degree,6107,291141,Registered Nurses,230000,332560.0,0.89,18.531,66.2,137690.0
CA,California,Male,30,101,Bachelor's degree,5098,151299,"Computer Occupations, All Other",186000,91510.0,1.77,5.099,60.89,126640.0
CA,California,Male,40,101,Bachelor's degree,3700,112022,Sales Managers,106000,113910.0,1.67,6.347,73.09,152030.0
CA,California,Male,33,101,Bachelor's degree,5301,119021,Construction Managers,115000,36950.0,0.95,2.059,62.35,129690.0
CA,California,Female,28,101,Bachelor's degree,5507,132011,Accountants And Auditors,100000,166020.0,0.98,9.251,48.35,100560.0
CA,California,Male,32,101,Bachelor's degree,3606,172041,Chemical Engineers,115000,1550.0,0.62,0.086,57.8,120230.0
CA,California,Female,69,101,Bachelor's degree,6107,291141,Registered Nurses,130800,332560.0,0.89,18.531,66.2,137690.0
CA,California,Male,26,101,Bachelor's degree,6402,113031,Financial Managers,120000,97400.0,1.05,5.427,94.55,196670.0
CA,California,Male,43,101,Bachelor's degree,1901,151241,Computer Network Architects,140000,17560.0,0.85,0.978,73.7,153300.0
CA,California,Male,40,101,Bachelor's degree,6105,291126,Respiratory Therapists,110000,15480.0,1.01,0.862,49.55,103060.0
CA,California,Female,30,114,Master's degree,3600,151252,Software Developers,144000,304390.0,1.55,16.961,83.55,173780.0
CA,California,Female,27,101,Bachelor's degree,6107,291141,Registered Nurses,100000,332560.0,0.89,18.531,66.2,137690.0
CA,California,Female,45,101,Bachelor's degree,6109,291123,Physical Therapists,114000,24200.0,0.85,1.349,54.94,114270.0
CA,California,Male,29,101,Bachelor's degree,2408,132011,Accountants And Auditors,100000,166020.0,0.98,9.251,48.35,100560.0
CA,California,Female,34,101,Bachelor's degree,5404,151252,Software Developers,120000,304390.0,1.55,16.961,83.55,173780.0
CA,California,Female,38,114,Master's degree,6107,291141,Registered Nurses,160000,332560.0,0.89,18.531,66.2,137690.0
CA,California,Male,27,101,Bachelor's degree,1901,151252,Software Developers,130000,304390.0,1.55,16.961,83.55,173780.0
CA,California,Male,44,114,Master's degree,6209,331021,First-Line Supervisors Of Firefighting And Prevention Workers,180000,6310.0,0.64,0.352,64.76,134690.0
CA,California,Female,31,114,Master's degree,2102,132011,Accountants And Auditors,150000,166020.0,0.98,9.251,48.35,100560.0
CA,California,Female,29,101,Bachelor's degree,5501,151252,Software Developers,194000,304390.0,1.55,16.961,83.55,173780.0
CA,California,Female,53,101,Bachelor's degree,6203,291141,Registered Nurses,161200,332560.0,0.89,18.531,66.2,137690.0
CA,California,Male,33,101,Bachelor's degree,6201,132011,Accountants And Auditors,260000,166020.0,0.98,9.251,48.35,100560.0
CA,California,Male,33,114,Master's degree,6107,119111,Medical And Health Services Managers,250000,57310.0,0.94,3.193,75.07,156140.0
CA,California,Female,23,101,Bachelor's degree,5507,151255,Web And Digital Interface Designers,145000,25370.0,1.93,1.414,65.95,137180.0
CA,California,Female,28,114,Master's degree,3604,151252,Software Developers,129000,304390.0,1.55,16.961,83.55,173780.0
CA,California,Female,35,114,Master's degree,6107,291141,Registered Nurses,160000,332560.0,0.89,18.531,66.2,137690.0
CA,California,Male,67,101,Bachelor's degree,3401,111021,General And Operations Managers,180000,273630.0,0.66,15.248,74.6,155170.0
CA,California,Male,27,101,Bachelor's degree,2102,151252,Software Developers,336000,304390.0,1.55,16.961,83.55,173780.0
CA,California,Male,51,101,Bachelor's degree,2102,291141,Registered Nurses,200300,332560.0,0.89,18.531,66.2,137690.0
CA,California,Male,62,101,Bachelor's degree,2599,131082,Project Management Specialists,136850,114640.0,1.02,6.388,56.45,117410.0
CA,California,Male,46,101,Bachelor's degree,2100,151211,Computer Systems Analysts,110000,49930.0,0.85,2.782,62.22,129420.0
CA,California,Male,31,101,Bachelor's degree,2414,172141,Mechanical Engineers,110000,27420.0,0.82,1.528,60.86,126600.0
CA,California,Male,32,101,Bachelor's degree,6005,131111,Management Analysts,115000,110430.0,1.11,6.153,57.39,119370.0
CA,California,Male,45,114,Master's degree,2407,151252,Software Developers,180000,304390.0,1.55,16.961,83.55,173780.0
CA,California,Female,24,101,Bachelor's degree,3600,291141,Registered Nurses,105000,332560.0,0.89,18.531,66.2,137690.0
CA,California,Male,28,101,Bachelor's degree,2102,273042,Technical Writers,120000,5990.0,1.06,0.334,52.59,109380.0
CA,California,Male,54,101,Bachelor's degree,2400,113021,Computer And Information Systems Managers,139000,98430.0,1.41,5.485,104.34,217030.0
CA,California,Female,59,101,Bachelor's degree,1901,291141,Registered Nurses,120000,332560.0,0.89,18.531,66.2,137690.0
CA,California,Male,59,114,Master's degree,2102,151253,Software Quality Assurance Analysts And Testers,120000,32940.0,1.37,1.835,63.82,132750.0
CA,California,Male,52,114,Master's degree,6107,291126,Respiratory Therapists,140000,15480.0,1.01,0.862,49.55,103060.0
CA,California,Male,29,114,Master's degree,2406,119021,Construction Managers,125000,36950.0,0.95,2.059,62.35,129690.0
CO,Colorado,Female,35,101,Bachelor's degree,3600,151252,Software Developers,116906,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Male,35,114,Master's degree,1103,113031,Financial Managers,118075,10700.0,0.73,3.779,91.48,190270.0
CO,Colorado,Male,31,115,Professional degree,3600,119111,Medical And Health Services Managers,163668,8180.0,0.85,2.888,68.81,143120.0
CO,Colorado,Male,44,114,Master's degree,5507,151241,Computer Network Architects,116906,11160.0,3.44,3.942,66.05,137390.0
CO,Colorado,Male,32,101,Bachelor's degree,3601,111021,General And Operations Managers,134442,44710.0,0.68,15.788,75.1,156210.0
CO,Colorado,Female,35,114,Master's degree,3301,112021,Marketing Managers,146132,5970.0,0.87,2.109,88.41,183890.0
CO,Colorado,Male,54,101,Bachelor's degree,6203,411012,First-Line Supervisors Of Non-Retail Sales Workers,582776,7630.0,1.8,2.694,53.41,111090.0
CO,Colorado,Male,47,114,Master's degree,6203,111021,General And Operations Managers,263038,44710.0,0.68,15.788,75.1,156210.0
CO,Colorado,Male,28,101,Bachelor's degree,6206,411012,First-Line Supervisors Of Non-Retail Sales Workers,175359,7630.0,1.8,2.694,53.41,111090.0
CO,Colorado,Male,67,101,Bachelor's degree,2415,131111,Management Analysts,115503,13130.0,0.84,4.638,50.8,105670.0
CO,Colorado,Female,59,115,Professional degree,3301,119141,"Property, Real Estate, And Community Association Managers",132221,2290.0,0.43,0.808,55.04,114490.0
CO,Colorado,Female,61,101,Bachelor's degree,6201,151211,Computer Systems Analysts,190557,9290.0,1.0,3.28,56.89,118340.0
CO,Colorado,Male,28,101,Bachelor's degree,6402,132052,Personal Financial Advisors,175476,5460.0,1.08,1.927,58.9,122520.0
CO,Colorado,Female,33,116,Doctoral degree,3600,291051,Pharmacists,163668,5100.0,0.82,1.801,68.11,141670.0
CO,Colorado,Male,31,101,Bachelor's degree,2409,172041,Chemical Engineers,116906,690.0,1.75,0.243,54.73,113830.0
CO,Colorado,Male,39,114,Master's degree,5301,131111,Management Analysts,187517,13130.0,0.84,4.638,50.8,105670.0
CO,Colorado,Female,51,114,Master's degree,6207,131111,Management Analysts,127428,13130.0,0.84,4.638,50.8,105670.0
CO,Colorado,Male,43,114,Master's degree,2102,151299,"Computer Occupations, All Other",224693,7810.0,0.96,2.758,67.53,140460.0
CO,Colorado,Female,41,114,Master's degree,6201,113031,Financial Managers,146132,10700.0,0.73,3.779,91.48,190270.0
CO,Colorado,Male,29,101,Bachelor's degree,2401,151252,Software Developers,128597,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Male,44,101,Bachelor's degree,2408,131082,Project Management Specialists,154316,30400.0,1.72,10.735,51.76,107660.0
CO,Colorado,Female,44,101,Bachelor's degree,6207,411012,First-Line Supervisors Of Non-Retail Sales Workers,169514,7630.0,1.8,2.694,53.41,111090.0
CO,Colorado,Male,60,101,Bachelor's degree,5006,151241,Computer Network Architects,161330,11160.0,3.44,3.942,66.05,137390.0
CO,Colorado,Male,39,114,Master's degree,1901,152031,Operations Research Analysts,136312,960.0,0.44,0.338,48.62,101130.0
CO,Colorado,Male,51,101,Bachelor's degree,6107,119111,Medical And Health Services Managers,132104,8180.0,0.85,2.888,68.81,143120.0
CO,Colorado,Female,45,101,Bachelor's degree,6201,151211,Computer Systems Analysts,292265,9290.0,1.0,3.28,56.89,118340.0
CO,Colorado,Male,48,114,Master's degree,1901,131111,Management Analysts,344873,13130.0,0.84,4.638,50.8,105670.0
CO,Colorado,Male,49,114,Master's degree,2407,172061,Computer Hardware Engineers,210898,2920.0,1.89,1.029,67.22,139830.0
CO,Colorado,Male,32,101,Bachelor's degree,6203,113131,Training And Development Managers,132162,680.0,0.88,0.24,71.17,148030.0
CO,Colorado,Male,33,101,Bachelor's degree,5501,151252,Software Developers,128597,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Female,48,101,Bachelor's degree,4001,119111,Medical And Health Services Managers,128597,8180.0,0.85,2.888,68.81,143120.0
CO,Colorado,Male,35,114,Master's degree,6201,113021,Computer And Information Systems Managers,176528,12080.0,1.09,4.267,88.71,184520.0
CO,Colorado,Female,29,115,Professional degree,5507,291051,Pharmacists,121582,5100.0,0.82,1.801,68.11,141670.0
CO,Colorado,Male,35,101,Bachelor's degree,4000,411012,First-Line Supervisors Of Non-Retail Sales Workers,125089,7630.0,1.8,2.694,53.41,111090.0
CO,Colorado,Male,60,101,Bachelor's degree,6203,119141,"Property, Real Estate, And Community Association Managers",177463,2290.0,0.43,0.808,55.04,114490.0
CO,Colorado,Male,58,114,Master's degree,6203,411012,First-Line Supervisors Of Non-Retail Sales Workers,278236,7630.0,1.8,2.694,53.41,111090.0
CO,Colorado,Male,38,101,Bachelor's degree,2414,131082,Project Management Specialists,146132,30400.0,1.72,10.735,51.76,107660.0
CO,Colorado,Female,67,115,Professional degree,5507,131111,Management Analysts,187166,13130.0,0.84,4.638,50.8,105670.0
CO,Colorado,Male,32,101,Bachelor's degree,5004,119021,Construction Managers,108723,12830.0,2.09,4.529,55.82,116100.0
CO,Colorado,Female,30,101,Bachelor's degree,2401,151252,Software Developers,116906,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Male,31,101,Bachelor's degree,2406,172051,Civil Engineers,146132,12100.0,1.98,4.272,49.72,103420.0
CO,Colorado,Male,48,101,Bachelor's degree,2300,131082,Project Management Specialists,169514,30400.0,1.72,10.735,51.76,107660.0
CO,Colorado,Male,47,114,Master's degree,2100,113021,Computer And Information Systems Managers,126304,12080.0,1.09,4.267,88.71,184520.0
CO,Colorado,Female,51,101,Bachelor's degree,6206,112021,Marketing Managers,137786,5970.0,0.87,2.109,88.41,183890.0
CO,Colorado,Male,38,115,Professional degree,4801,151241,Computer Network Architects,130437,11160.0,3.44,3.942,66.05,137390.0
CO,Colorado,Male,41,114,Master's degree,2406,119021,Construction Managers,190604,12830.0,2.09,4.529,55.82,116100.0
CO,Colorado,Female,48,101,Bachelor's degree,1401,119021,Construction Managers,126304,12830.0,2.09,4.529,55.82,116100.0
CO,Colorado,Male,28,114,Master's degree,2401,172051,Civil Engineers,117118,12100.0,1.98,4.272,49.72,103420.0
CO,Colorado,Male,36,101,Bachelor's degree,5004,113021,Computer And Information Systems Managers,179122,12080.0,1.09,4.267,88.71,184520.0
CO,Colorado,Male,49,101,Bachelor's degree,6402,151211,Computer Systems Analysts,249278,9290.0,1.0,3.28,56.89,118340.0
CO,Colorado,Male,40,101,Bachelor's degree,2102,113021,Computer And Information Systems Managers,144675,12080.0,1.09,4.267,88.71,184520.0
CO,Colorado,Female,48,114,Master's degree,6206,113031,Financial Managers,172233,10700.0,0.73,3.779,91.48,190270.0
CO,Colorado,Male,31,101,Bachelor's degree,5200,112022,Sales Managers,106784,9950.0,0.93,3.513,93.64,194770.0
CO,Colorado,Female,45,101,Bachelor's degree,1105,413091,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",173381,40700.0,1.91,14.371,53.19,110630.0
CO,Colorado,Female,38,101,Bachelor's degree,6203,413091,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",229643,40700.0,1.91,14.371,53.19,110630.0
CO,Colorado,Male,67,114,Master's degree,6203,131111,Management Analysts,138934,13130.0,0.84,4.638,50.8,105670.0
CO,Colorado,Male,33,114,Master's degree,2414,172051,Civil Engineers,114822,12100.0,1.98,4.272,49.72,103420.0
CO,Colorado,Male,36,101,Bachelor's degree,5003,192041,"Environmental Scientists And Specialists, Including Health",114822,2780.0,1.85,0.983,49.16,102250.0
CO,Colorado,Male,40,101,Bachelor's degree,5007,172011,Aerospace Engineers,132045,3760.0,3.02,1.326,69.05,143630.0
CO,Colorado,Male,44,101,Bachelor's degree,2100,113021,Computer And Information Systems Managers,155009,12080.0,1.09,4.267,88.71,184520.0
CO,Colorado,Male,60,114,Master's degree,2408,172051,Civil Engineers,137786,12100.0,1.98,4.272,49.72,103420.0
CO,Colorado,Male,51,101,Bachelor's degree,5501,413031,"Securities, Commodities, And Financial Services Sales Agents",975985,10450.0,1.17,3.691,51.28,106660.0
CO,Colorado,Male,38,101,Bachelor's degree,2102,151252,Software Developers,241987,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Male,49,101,Bachelor's degree,5403,413091,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",296240,40700.0,1.91,14.371,53.19,110630.0
CO,Colorado,Male,43,101,Bachelor's degree,5501,151221,Computer And Information Research Scientists,114822,350.0,0.54,0.125,63.49,132070.0
CO,Colorado,Male,51,101,Bachelor's degree,5200,151252,Software Developers,118496,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Female,55,101,Bachelor's degree,2201,151252,Software Developers,158753,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Female,76,101,Bachelor's degree,6199,119111,Medical And Health Services Managers,126304,8180.0,0.85,2.888,68.81,143120.0
CO,Colorado,Male,39,101,Bachelor's degree,6200,119021,Construction Managers,137786,12830.0,2.09,4.529,55.82,116100.0
CO,Colorado,Male,38,101,Bachelor's degree,2502,113021,Computer And Information Systems Managers,142609,12080.0,1.09,4.267,88.71,184520.0
CO,Colorado,Male,49,114,Master's degree,4002,111021,General And Operations Managers,109081,44710.0,0.68,15.788,75.1,156210.0
CO,Colorado,Male,37,101,Bachelor's degree,2102,113021,Computer And Information Systems Managers,206679,12080.0,1.09,4.267,88.71,184520.0
CO,Colorado,Male,32,114,Master's degree,5200,151252,Software Developers,134341,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Female,52,114,Master's degree,5200,112022,Sales Managers,103340,9950.0,0.93,3.513,93.64,194770.0
CO,Colorado,Male,41,101,Bachelor's degree,3301,132053,Insurance Underwriters,125156,1780.0,0.94,0.63,49.07,102070.0
CO,Colorado,Male,36,101,Bachelor's degree,6206,113121,Human Resources Managers,134341,3170.0,0.85,1.119,78.19,162630.0
CO,Colorado,Male,38,114,Master's degree,2407,172061,Computer Hardware Engineers,132045,2920.0,1.89,1.029,67.22,139830.0
CO,Colorado,Male,37,114,Master's degree,2401,151252,Software Developers,252608,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Male,40,101,Bachelor's degree,6203,131082,Project Management Specialists,124007,30400.0,1.72,10.735,51.76,107660.0
CO,Colorado,Female,37,101,Bachelor's degree,6103,111021,General And Operations Managers,102191,44710.0,0.68,15.788,75.1,156210.0
CO,Colorado,Male,36,101,Bachelor's degree,3608,113031,Financial Managers,114822,10700.0,0.73,3.779,91.48,190270.0
CO,Colorado,Male,43,101,Bachelor's degree,6200,172051,Civil Engineers,160750,12100.0,1.98,4.272,49.72,103420.0
CO,Colorado,Male,26,101,Bachelor's degree,2102,151252,Software Developers,103385,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Female,49,101,Bachelor's degree,6107,119111,Medical And Health Services Managers,206679,8180.0,0.85,2.888,68.81,143120.0
CO,Colorado,Male,29,101,Bachelor's degree,3700,111021,General And Operations Managers,132045,44710.0,0.68,15.788,75.1,156210.0
CO,Colorado,Female,52,101,Bachelor's degree,6200,119111,Medical And Health Services Managers,229643,8180.0,0.85,2.888,68.81,143120.0
CO,Colorado,Male,46,114,Master's degree,5200,132052,Personal Financial Advisors,235385,5460.0,1.08,1.927,58.9,122520.0
CO,Colorado,Female,38,101,Bachelor's degree,2300,113031,Financial Managers,156158,10700.0,0.73,3.779,91.48,190270.0
CO,Colorado,Male,49,101,Bachelor's degree,2102,151252,Software Developers,189456,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Male,34,101,Bachelor's degree,5007,192099,"Physical Scientists, All Other",112525,860.0,2.22,0.305,60.08,124960.0
CO,Colorado,Male,53,114,Master's degree,5506,151252,Software Developers,118266,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Male,46,101,Bachelor's degree,6200,113061,Purchasing Managers,115970,1040.0,0.72,0.368,82.16,170900.0
CO,Colorado,Male,60,114,Master's degree,5002,151211,Computer Systems Analysts,160750,9290.0,1.0,3.28,56.89,118340.0
CO,Colorado,Male,62,101,Bachelor's degree,2399,151211,Computer Systems Analysts,259267,9290.0,1.0,3.28,56.89,118340.0
CO,Colorado,Male,46,116,Doctoral degree,2414,172141,Mechanical Engineers,114822,7100.0,1.35,2.507,54.25,112840.0
CO,Colorado,Female,44,114,Master's degree,6200,131111,Management Analysts,177974,13130.0,0.84,4.638,50.8,105670.0
CO,Colorado,Male,44,114,Master's degree,6200,172011,Aerospace Engineers,137786,3760.0,3.02,1.326,69.05,143630.0
CO,Colorado,Male,42,101,Bachelor's degree,2407,151251,Computer Programmers,106784,1420.0,0.63,0.5,55.56,115550.0
CO,Colorado,Male,46,101,Bachelor's degree,5200,413091,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",175637,40700.0,1.91,14.371,53.19,110630.0
CO,Colorado,Male,34,101,Bachelor's degree,5098,131082,Project Management Specialists,107648,30400.0,1.72,10.735,51.76,107660.0
CO,Colorado,Male,54,101,Bachelor's degree,6203,131111,Management Analysts,159093,13130.0,0.84,4.638,50.8,105670.0
CO,Colorado,Male,54,101,Bachelor's degree,6207,131082,Project Management Specialists,271954,30400.0,1.72,10.735,51.76,107660.0
CO,Colorado,Male,30,101,Bachelor's degree,5004,119041,Architectural And Engineering Managers,192634,4090.0,1.06,1.445,90.2,187620.0
CO,Colorado,Female,37,101,Bachelor's degree,6002,112021,Marketing Managers,147308,5970.0,0.87,2.109,88.41,183890.0
CO,Colorado,Male,35,114,Master's degree,5002,192099,"Physical Scientists, All Other",120113,860.0,2.22,0.305,60.08,124960.0
CO,Colorado,Female,41,101,Bachelor's degree,6200,151211,Computer Systems Analysts,106968,9290.0,1.0,3.28,56.89,118340.0
CO,Colorado,Female,36,101,Bachelor's degree,6207,113031,Financial Managers,124645,10700.0,0.73,3.779,91.48,190270.0
CO,Colorado,Male,62,101,Bachelor's degree,1303,151252,Software Developers,113314,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Female,45,101,Bachelor's degree,3600,111021,General And Operations Managers,113314,44710.0,0.68,15.788,75.1,156210.0
CO,Colorado,Male,54,114,Master's degree,5301,331012,First-Line Supervisors Of Police And Detectives,136090,2340.0,0.91,0.828,56.55,117620.0
CO,Colorado,Female,57,101,Bachelor's degree,2100,151253,Software Quality Assurance Analysts And Testers,103342,6430.0,1.7,2.269,54.91,114210.0
CO,Colorado,Male,35,114,Master's degree,5901,151212,Information Security Analysts,177337,5480.0,1.68,1.935,61.7,128340.0
CO,Colorado,Female,26,101,Bachelor's degree,6206,112022,Sales Managers,147308,9950.0,0.93,3.513,93.64,194770.0
CO,Colorado,Male,35,101,Bachelor's degree,1901,112022,Sales Managers,113314,9950.0,0.93,3.513,93.64,194770.0
CO,Colorado,Female,52,101,Bachelor's degree,5504,152031,Operations Research Analysts,124645,960.0,0.44,0.338,48.62,101130.0
CO,Colorado,Female,31,114,Master's degree,2414,151252,Software Developers,113314,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Female,46,101,Bachelor's degree,6207,131111,Management Analysts,271954,13130.0,0.84,4.638,50.8,105670.0
CO,Colorado,Female,28,101,Bachelor's degree,5200,112022,Sales Managers,143909,9950.0,0.93,3.513,93.64,194770.0
CO,Colorado,Male,40,101,Bachelor's degree,5502,172061,Computer Hardware Engineers,147308,2920.0,1.89,1.029,67.22,139830.0
CO,Colorado,Male,26,101,Bachelor's degree,2408,151252,Software Developers,158640,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Female,44,101,Bachelor's degree,6402,152031,Operations Research Analysts,109915,960.0,0.44,0.338,48.62,101130.0
CO,Colorado,Male,36,101,Bachelor's degree,5301,152031,Operations Research Analysts,158640,960.0,0.44,0.338,48.62,101130.0
CO,Colorado,Male,34,114,Master's degree,2408,119141,"Property, Real Estate, And Community Association Managers",147308,2290.0,0.43,0.808,55.04,114490.0
CO,Colorado,Female,48,101,Bachelor's degree,3600,291292,Dental Hygienists,107671,4700.0,1.19,1.658,48.94,101790.0
CO,Colorado,Male,57,101,Bachelor's degree,2102,151251,Computer Programmers,525777,1420.0,0.63,0.5,55.56,115550.0
CO,Colorado,Male,35,114,Master's degree,4801,131111,Management Analysts,101983,13130.0,0.84,4.638,50.8,105670.0
CO,Colorado,Male,28,101,Bachelor's degree,5601,119021,Construction Managers,124645,12830.0,2.09,4.529,55.82,116100.0
CO,Colorado,Male,41,101,Bachelor's degree,6207,132052,Personal Financial Advisors,283285,5460.0,1.08,1.927,58.9,122520.0
CO,Colorado,Female,37,101,Bachelor's degree,5200,413091,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",264022,40700.0,1.91,14.371,53.19,110630.0
CO,Colorado,Female,39,101,Bachelor's degree,2106,151251,Computer Programmers,124645,1420.0,0.63,0.5,55.56,115550.0
CO,Colorado,Male,25,101,Bachelor's degree,2102,151252,Software Developers,114447,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Male,34,101,Bachelor's degree,2405,172051,Civil Engineers,124645,12100.0,1.98,4.272,49.72,103420.0
CO,Colorado,Female,55,101,Bachelor's degree,6203,151252,Software Developers,126912,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Male,48,101,Bachelor's degree,5501,413091,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",580168,40700.0,1.91,14.371,53.19,110630.0
CO,Colorado,Male,41,114,Master's degree,5200,111021,General And Operations Managers,233994,44710.0,0.68,15.788,75.1,156210.0
CO,Colorado,Male,31,114,Master's degree,2401,151252,Software Developers,125779,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Female,41,101,Bachelor's degree,2407,151212,Information Security Analysts,133711,5480.0,1.68,1.935,61.7,128340.0
CO,Colorado,Male,47,101,Bachelor's degree,6206,172051,Civil Engineers,207365,12100.0,1.98,4.272,49.72,103420.0
CO,Colorado,Male,27,101,Bachelor's degree,5007,151252,Software Developers,111388,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Female,25,101,Bachelor's degree,2100,151252,Software Developers,125779,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Female,58,101,Bachelor's degree,6107,119111,Medical And Health Services Managers,106515,8180.0,0.85,2.888,68.81,143120.0
CO,Colorado,Male,48,114,Master's degree,5004,192099,"Physical Scientists, All Other",556372,860.0,2.22,0.305,60.08,124960.0
CO,Colorado,Female,53,101,Bachelor's degree,6207,132051,Financial And Investment Analysts,556372,8460.0,1.4,2.989,54.56,113480.0
CO,Colorado,Female,37,101,Bachelor's degree,2400,172051,Civil Engineers,130594,12100.0,1.98,4.272,49.72,103420.0
CO,Colorado,Female,40,115,Professional degree,3606,291131,Veterinarians,181869,2220.0,1.52,0.784,53.13,110510.0
CO,Colorado,Male,39,101,Bachelor's degree,2105,151244,Network And Computer Systems Administrators,175637,10880.0,1.81,3.842,50.3,104620.0
CO,Colorado,Male,50,114,Master's degree,5504,151253,Software Quality Assurance Analysts And Testers,120340,6430.0,1.7,2.269,54.91,114210.0
CO,Colorado,Male,44,116,Doctoral degree,2401,172011,Aerospace Engineers,227761,3760.0,3.02,1.326,69.05,143630.0
CO,Colorado,Male,42,101,Bachelor's degree,2106,151299,"Computer Occupations, All Other",165439,7810.0,0.96,2.758,67.53,140460.0
CO,Colorado,Male,39,101,Bachelor's degree,6203,113031,Financial Managers,198300,10700.0,0.73,3.779,91.48,190270.0
CO,Colorado,Male,49,101,Bachelor's degree,6002,151253,Software Quality Assurance Analysts And Testers,228072,6430.0,1.7,2.269,54.91,114210.0
CO,Colorado,Male,36,114,Master's degree,6200,413091,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",107551,40700.0,1.91,14.371,53.19,110630.0
CO,Colorado,Female,32,101,Bachelor's degree,6203,113131,Training And Development Managers,102903,680.0,0.88,0.24,71.17,148030.0
CO,Colorado,Male,49,114,Master's degree,2102,151252,Software Developers,112415,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Female,47,114,Master's degree,6200,119041,Architectural And Engineering Managers,170784,4090.0,1.06,1.445,90.2,187620.0
CO,Colorado,Female,38,114,Master's degree,1901,112022,Sales Managers,162137,9950.0,0.93,3.513,93.64,194770.0
CO,Colorado,Male,37,101,Bachelor's degree,6212,151244,Network And Computer Systems Administrators,125818,10880.0,1.81,3.842,50.3,104620.0
CO,Colorado,Male,69,101,Bachelor's degree,5200,132052,Personal Financial Advisors,103119,5460.0,1.08,1.927,58.9,122520.0
CO,Colorado,Male,48,114,Master's degree,6200,113021,Computer And Information Systems Managers,118900,12080.0,1.09,4.267,88.71,184520.0
CO,Colorado,Male,36,101,Bachelor's degree,2102,151252,Software Developers,108091,45270.0,1.47,15.985,69.92,145420.0
CO,Colorado,Male,36,114,Master's degree,2100,151244,Network And Computer Systems Administrators,119765,10880.0,1.81,3.842,50.3,104620.0
CO,Colorado,Male,54,114,Master's degree,6204,151252,Software Developers,147004,45270.0,1.47,15.985,69.92,145420.0
